sample_id	ancestry
TGG_1	NA
TGG_2	NA
TGG_3	eas
TGG_4	NA
TGG_5	eas
TGG_6	NA
TGG_7	nfe
TGG_8	nfe
TGG_9	nfe
TGG_10	nfe
TGG_11	NA
TGG_12	nfe
TGG_13	nfe
TGG_14	nfe
TGG_15	NA
TGG_16	nfe
TGG_17	nfe
TGG_18	NA
TGG_19	NA
TGG_20	nfe
TGG_21	NA
TGG_22	NA
TGG_23	nfe
TGG_24	NA
TGG_25	nfe
TGG_26	NA
TGG_27	NA
TGG_28	NA
TGG_29	nfe
TGG_30	nfe
TGG_31	nfe
TGG_32	NA
TGG_33	NA
TGG_34	nfe
TGG_35	nfe
TGG_36	NA
TGG_37	NA
TGG_38	NA
TGG_39	nfe
TGG_40	NA
TGG_41	nfe
TGG_42	NA
TGG_43	nfe
TGG_44	nfe
TGG_45	nfe
TGG_46	nfe
TGG_47	nfe
TGG_48	nfe
TGG_49	nfe
TGG_50	NA
TGG_51	nfe
TGG_52	nfe
TGG_53	nfe
TGG_54	NA
TGG_55	nfe
TGG_56	nfe
TGG_57	NA
TGG_58	fin
TGG_59	fin
TGG_60	fin
TGG_61	fin
TGG_62	fin
TGG_63	fin
TGG_64	fin
TGG_65	NA
TGG_66	fin
TGG_67	fin
TGG_68	NA
TGG_69	fin
TGG_70	NA
TGG_71	fin
TGG_72	NA
TGG_73	nfe
TGG_74	nfe
TGG_75	NA
TGG_76	nfe
TGG_77	nfe
TGG_78	nfe
TGG_79	nfe
TGG_80	nfe
TGG_81	NA
TGG_82	nfe
TGG_83	nfe
TGG_84	nfe
TGG_85	nfe
TGG_86	NA
TGG_87	nfe
TGG_88	nfe
TGG_89	nfe
TGG_90	nfe
TGG_91	NA
TGG_92	nfe
TGG_93	NA
TGG_94	nfe
TGG_95	nfe
TGG_96	nfe
TGG_97	nfe
TGG_98	nfe
TGG_99	NA
TGG_100	NA
TGG_101	fin
TGG_102	NA
TGG_103	fin
TGG_104	fin
TGG_105	fin
TGG_106	fin
TGG_107	NA
TGG_108	fin
TGG_109	fin
TGG_110	fin
TGG_111	fin
TGG_112	NA
TGG_113	NA
TGG_114	fin
TGG_115	fin
TGG_116	fin
TGG_117	fin
TGG_118	fin
TGG_119	fin
TGG_120	fin
TGG_121	NA
TGG_122	NA
TGG_123	fin
TGG_124	fin
TGG_125	fin
TGG_126	NA
TGG_127	fin
TGG_128	NA
TGG_129	NA
TGG_130	fin
TGG_131	fin
TGG_132	fin
TGG_133	fin
TGG_134	fin
TGG_135	NA
TGG_136	fin
TGG_137	fin
TGG_138	fin
TGG_139	fin
TGG_140	NA
TGG_141	fin
TGG_142	fin
TGG_143	fin
TGG_144	fin
TGG_145	fin
TGG_146	fin
TGG_147	fin
TGG_148	NA
TGG_149	fin
TGG_150	fin
TGG_151	fin
TGG_152	fin
TGG_153	NA
TGG_154	NA
TGG_155	NA
TGG_156	NA
TGG_157	NA
TGG_158	NA
TGG_159	NA
TGG_160	fin
TGG_161	NA
TGG_162	fin
TGG_163	NA
TGG_164	fin
TGG_165	fin
TGG_166	NA
TGG_167	fin
TGG_168	fin
TGG_169	NA
TGG_170	fin
TGG_171	NA
TGG_172	eas
TGG_173	eas
TGG_174	eas
TGG_175	eas
TGG_176	eas
TGG_177	NA
TGG_178	NA
TGG_179	NA
TGG_180	eas
TGG_181	NA
TGG_182	eas
TGG_183	NA
TGG_184	NA
TGG_185	NA
TGG_186	NA
TGG_187	eas
TGG_188	eas
TGG_189	NA
TGG_190	eas
TGG_191	NA
TGG_192	eas
TGG_193	NA
TGG_194	NA
TGG_195	NA
TGG_196	NA
TGG_197	NA
TGG_198	NA
TGG_199	eas
TGG_200	eas
TGG_201	eas
TGG_202	eas
TGG_203	NA
TGG_204	eas
TGG_205	NA
TGG_206	NA
TGG_207	NA
TGG_208	NA
TGG_209	NA
TGG_210	NA
TGG_211	NA
TGG_212	NA
TGG_213	NA
TGG_214	NA
TGG_215	NA
TGG_216	NA
TGG_217	NA
TGG_218	eas
TGG_219	eas
TGG_220	NA
TGG_221	eas
TGG_222	NA
TGG_223	NA
TGG_224	eas
TGG_225	eas
TGG_226	eas
TGG_227	NA
TGG_228	eas
TGG_229	eas
TGG_230	eas
TGG_231	NA
TGG_232	eas
TGG_233	eas
TGG_234	NA
TGG_235	eas
TGG_236	NA
TGG_237	NA
TGG_238	amr
TGG_239	NA
TGG_240	eas
TGG_241	eas
TGG_242	NA
TGG_243	eas
TGG_244	NA
TGG_245	eas
TGG_246	eas
TGG_247	NA
TGG_248	eas
TGG_249	eas
TGG_250	eas
TGG_251	eas
TGG_252	eas
TGG_253	NA
TGG_254	NA
TGG_255	eas
TGG_256	eas
TGG_257	NA
TGG_258	eas
TGG_259	NA
TGG_260	NA
TGG_261	NA
TGG_262	eas
TGG_263	eas
TGG_264	eas
TGG_265	NA
TGG_266	amr
TGG_267	amr
TGG_268	eas
TGG_269	NA
TGG_270	eas
TGG_271	eas
TGG_272	eas
TGG_273	eas
TGG_274	eas
TGG_275	eas
TGG_276	NA
TGG_277	eas
TGG_278	NA
TGG_279	NA
TGG_280	NA
TGG_281	amr
TGG_282	NA
TGG_283	amr
TGG_284	NA
TGG_285	amr
TGG_286	amr
TGG_287	amr
TGG_288	amr
TGG_289	NA
TGG_290	amr
TGG_291	NA
TGG_292	amr
TGG_293	amr
TGG_294	NA
TGG_295	NA
TGG_296	amr
TGG_297	NA
TGG_298	amr
TGG_299	NA
TGG_300	NA
TGG_301	NA
TGG_302	amr
TGG_303	NA
TGG_304	amr
TGG_305	amr
TGG_306	amr
TGG_307	amr
TGG_308	NA
TGG_309	NA
TGG_310	amr
TGG_311	amr
TGG_312	amr
TGG_313	NA
TGG_314	NA
TGG_315	NA
TGG_316	NA
TGG_317	amr
TGG_318	amr
TGG_319	NA
TGG_320	amr
TGG_321	NA
TGG_322	amr
TGG_323	NA
TGG_324	amr
TGG_325	amr
TGG_326	amr
TGG_327	NA
TGG_328	amr
TGG_329	NA
TGG_330	amr
TGG_331	amr
TGG_332	NA
TGG_333	NA
TGG_334	amr
TGG_335	amr
TGG_336	amr
TGG_337	amr
TGG_338	amr
TGG_339	NA
TGG_340	NA
TGG_341	amr
TGG_342	amr
TGG_343	amr
TGG_344	amr
TGG_345	amr
TGG_346	amr
TGG_347	amr
TGG_348	amr
TGG_349	NA
TGG_350	amr
TGG_351	NA
TGG_352	amr
TGG_353	nfe
TGG_354	amr
TGG_355	amr
TGG_356	amr
TGG_357	amr
TGG_358	amr
TGG_359	amr
TGG_360	amr
TGG_361	amr
TGG_362	amr
TGG_363	NA
TGG_364	amr
TGG_365	NA
TGG_366	amr
TGG_367	NA
TGG_368	amr
TGG_369	amr
TGG_370	amr
TGG_371	amr
TGG_372	amr
TGG_373	amr
TGG_374	amr
TGG_375	NA
TGG_376	amr
TGG_377	amr
TGG_378	NA
TGG_379	amr
TGG_380	NA
TGG_381	amr
TGG_382	amr
TGG_383	amr
TGG_384	NA
TGG_385	NA
TGG_386	amr
TGG_387	amr
TGG_388	amr
TGG_389	amr
TGG_390	amr
TGG_391	NA
TGG_392	amr
TGG_393	amr
TGG_394	amr
TGG_395	amr
TGG_396	NA
TGG_397	NA
TGG_398	amr
TGG_399	amr
TGG_400	amr
TGG_401	NA
TGG_402	NA
TGG_403	NA
TGG_404	NA
TGG_405	NA
TGG_406	NA
TGG_407	amr
TGG_408	amr
TGG_409	amr
TGG_410	amr
TGG_411	NA
TGG_412	amr
TGG_413	amr
TGG_414	amr
TGG_415	amr
TGG_416	NA
TGG_417	NA
TGG_418	nfe
TGG_419	NA
TGG_420	NA
TGG_421	nfe
TGG_422	NA
TGG_423	NA
TGG_424	NA
TGG_425	nfe
TGG_426	NA
TGG_427	nfe
TGG_428	nfe
TGG_429	nfe
TGG_430	nfe
TGG_431	nfe
TGG_432	nfe
TGG_433	NA
TGG_434	nfe
TGG_435	nfe
TGG_436	amr
TGG_437	amr
TGG_438	amr
TGG_439	amr
TGG_440	amr
TGG_441	NA
TGG_442	amr
TGG_443	NA
TGG_444	sas
TGG_445	NA
TGG_446	eas
TGG_447	eas
TGG_448	nfe
TGG_449	nfe
TGG_450	NA
TGG_451	nfe
TGG_452	NA
TGG_453	NA
TGG_454	nfe
TGG_455	nfe
TGG_456	nfe
TGG_457	nfe
TGG_458	NA
TGG_459	nfe
TGG_460	NA
TGG_461	NA
TGG_462	NA
TGG_463	nfe
TGG_464	nfe
TGG_465	NA
TGG_466	nfe
TGG_467	NA
TGG_468	nfe
TGG_469	nfe
TGG_470	NA
TGG_471	nfe
TGG_472	NA
TGG_473	nfe
TGG_474	nfe
TGG_475	nfe
TGG_476	nfe
TGG_477	NA
TGG_478	nfe
TGG_479	NA
TGG_480	nfe
TGG_481	NA
TGG_482	NA
TGG_483	NA
TGG_484	nfe
TGG_485	nfe
TGG_486	nfe
TGG_487	NA
TGG_488	nfe
TGG_489	NA
TGG_490	nfe
TGG_491	nfe
TGG_492	nfe
