,sample_id,ancestry,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label
0,TGG_1,amr,-0.0108902,-0.0257379,0.00270924,0.0116787,0.0178655,0.0118687,0.00687876,-0.019558,0.00235144,0.00440273,Inferred
1,TGG_2,amr,-0.00932954,-0.0219117,0.00145349,0.0141518,0.0141,0.00965388,0.0074109,-0.0206172,-0.00141132,0.0029742,Inferred
2,TGG_4,eas,-0.0159878,0.031679,-0.0149672,0.00930096,0.034035,0.00509583,0.00986585,-0.0223348,0.011478,0.00348686,Inferred
3,TGG_6,nfe,-0.0147846,-0.0290872,0.0448411,-0.0122487,0.00398302,-0.0850179,0.010757,-0.0347474,0.00334518,-0.0375615,Inferred
4,TGG_11,nfe,-0.0124716,-0.0290036,0.00814439,0.00234808,0.0277659,0.0195048,-0.000368372,0.00376874,0.00435008,-0.0058531,Inferred
5,TGG_15,nfe,-0.0129378,-0.0314634,0.00871717,0.00465214,0.0271252,0.0184559,-0.00336727,-0.00135168,0.00473218,-0.00725078,Inferred
6,TGG_18,nfe,-0.0136346,-0.0270925,0.0269528,-0.0106444,0.0113602,0.0147659,-0.00210306,0.0339111,-0.00153008,0.0274535,Inferred
7,TGG_19,nfe,-0.0138942,-0.0261242,0.029328,-0.0115716,-0.00179939,0.0107172,-0.00536117,0.0351243,-0.000574035,0.0248824,Inferred
8,TGG_21,nfe,-0.014279,-0.0262884,0.0357464,-0.0142273,0.00192609,0.00402968,-0.00805243,0.0378719,-0.00419217,0.0172998,Inferred
9,TGG_22,nfe,-0.0129302,-0.0302043,0.00761245,0.00576631,0.0263299,0.0188923,-0.00206288,-0.00369668,0.00529953,-0.00617261,Inferred
10,TGG_24,nfe,-0.0141553,-0.0274891,0.0361485,-0.0127759,0.00656222,-0.0565753,0.0110473,-0.029638,0.0103041,-0.0135586,Inferred
11,TGG_26,nfe,-0.0127804,-0.0308927,0.00516097,0.00300908,0.026677,0.0186521,-0.000898141,-0.00733711,-0.00037773,-0.00841537,Inferred
